=== Heap Fragmentation Log ===
Timestamp: 1208693 ms
Current Heap: free=75516, largestBlock=24564 (32.5%), freeBlocks=21
Baseline: largestBlock=233460 (set 1207570 ms ago)
Degradation: 208896 bytes (89.5% loss from baseline)

=== Recent Operations (last 100) ===
[ 1201352] WebClientModule | WebClient::accessResource      | heap= 74964, largest= 32756 (43.7%)
[ 1201352] WebClientModule | WebClient::accessResource      | heap= 75448, largest= 32756 (43.4%)
[ 1201352] WebClientModule | WebClient::accessResource      | heap= 75432, largest= 32756 (43.4%)
[ 1201353] SofaScoreLiveMo | SofaScore::queueData           | heap= 75496, largest= 32756 (43.4%)
[ 1201353] WebClientModule | WebClient::accessResource      | heap= 75416, largest= 32756 (43.4%)
[ 1201353] WebClientModule | WebClient::accessResource      | heap= 75320, largest= 32756 (43.5%)
[ 1201354] WebClientModule | WebClient::accessResource      | heap= 76256, largest= 32756 (43.0%)
[ 1201355] WebClientModule | WebClient::accessResource      | heap= 75660, largest= 32756 (43.3%)
[ 1201356] TankerkoenigMod | Tankerkoenig::processData      | heap= 76336, largest= 32756 (42.9%)
[ 1201356] SofaScoreLiveMo | SofaScore::processData         | heap= 76336, largest= 32756 (42.9%)
[ 1202270] TankerkoenigMod | Tankerkoenig::queueData        | heap= 73892, largest= 29684 (40.2%)
[ 1202270] WebClientModule | WebClient::accessResource      | heap= 75768, largest= 32756 (43.2%)
[ 1202270] WebClientModule | WebClient::accessResource      | heap= 76252, largest= 32756 (43.0%)
[ 1202271] WebClientModule | WebClient::accessResource      | heap= 76236, largest= 32756 (43.0%)
[ 1202271] SofaScoreLiveMo | SofaScore::queueData           | heap= 76300, largest= 32756 (42.9%)
[ 1202271] WebClientModule | WebClient::accessResource      | heap= 76220, largest= 32756 (43.0%)
[ 1202271] WebClientModule | WebClient::accessResource      | heap= 76120, largest= 32756 (43.0%)
[ 1202273] WebClientModule | WebClient::accessResource      | heap= 76220, largest= 32756 (43.0%)
