=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:04:12
Timestamp: 27497 ms
Current Heap: free=77920, largestBlock=35828 (46.0%), freeBlocks=13
Baseline: largestBlock=233460 (set 26391 ms ago)
Degradation: 197632 bytes (84.7% loss from baseline)

=== Recent Operations (last 300) ===
[   26728] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   26771] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78936, largest= 35828 (45.4%)
[   26772] WebClientModule:346  | WebClient::accessResource      | heap= 78404, largest= 35828 (45.7%)
[   26773] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78936, largest= 35828 (45.4%)
[   26773] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26773] WebClientModule:346  | WebClient::accessResource      | heap= 78872, largest= 35828 (45.4%)
[   26773] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78936, largest= 35828 (45.4%)
[   26774] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   26775] WebClientModule:346  | WebClient::accessResource      | heap= 78840, largest= 35828 (45.4%)
[   26775] CalendarModule.:94   | CalendarModule::queueData      | heap= 78936, largest= 35828 (45.4%)
[   26775] WebClientModule:346  | WebClient::accessResource      | heap= 78760, largest= 35828 (45.5%)
[   26776] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78936, largest= 35828 (45.4%)
[   26776] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   26776] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78936, largest= 35828 (45.4%)
[   26777] WebClientModule:346  | WebClient::accessResource      | heap= 78260, largest= 35828 (45.8%)
[   26777] WebClientModule:346  | WebClient::accessResource      | heap= 78744, largest= 35828 (45.5%)
[   26777] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78936, largest= 35828 (45.4%)
[   26778] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78936, largest= 35828 (45.4%)
[   26779] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78936, largest= 35828 (45.4%)
[   26779] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78936, largest= 35828 (45.4%)
[   26779] CalendarModule.:112  | CalendarModule::processData    | heap= 78936, largest= 35828 (45.4%)
[   26780] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   26780] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   26780] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   26822] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   26823] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   26823] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   26823] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   26823] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   26824] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   26824] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   26825] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26825] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   26825] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   26825] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   26826] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   26826] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   26826] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   26827] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   26827] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   26828] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   26828] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   26829] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   26829] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   26829] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   26829] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   26829] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   26872] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78936, largest= 35828 (45.4%)
[   26873] WebClientModule:346  | WebClient::accessResource      | heap= 78404, largest= 35828 (45.7%)
[   26873] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78936, largest= 35828 (45.4%)
[   26873] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26873] WebClientModule:346  | WebClient::accessResource      | heap= 78872, largest= 35828 (45.4%)
[   26874] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78936, largest= 35828 (45.4%)
[   26874] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   26875] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26875] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   26875] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   26875] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   26876] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   26876] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   26876] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   26877] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   26877] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   26878] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   26879] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   26879] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   26879] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   26879] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   26879] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   26880] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   26922] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   26923] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   26923] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   26923] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   26923] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   26924] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   26924] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   26925] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26925] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   26925] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   26925] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   26926] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   26926] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   26926] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   26927] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   26927] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   26928] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   26928] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   26929] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   26929] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   26929] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   26929] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   26929] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   26972] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   26973] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   26973] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78936, largest= 35828 (45.4%)
[   26974] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   26974] WebClientModule:346  | WebClient::accessResource      | heap= 78872, largest= 35828 (45.4%)
[   26974] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78936, largest= 35828 (45.4%)
[   26974] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   26975] WebClientModule:346  | WebClient::accessResource      | heap= 78840, largest= 35828 (45.4%)
[   26975] CalendarModule.:94   | CalendarModule::queueData      | heap= 78936, largest= 35828 (45.4%)
[   26976] WebClientModule:346  | WebClient::accessResource      | heap= 78760, largest= 35828 (45.5%)
[   26976] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78936, largest= 35828 (45.4%)
[   26976] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   26976] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78936, largest= 35828 (45.4%)
[   26978] WebClientModule:346  | WebClient::accessResource      | heap= 78260, largest= 35828 (45.8%)
[   26978] WebClientModule:346  | WebClient::accessResource      | heap= 78744, largest= 35828 (45.5%)
[   26978] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78936, largest= 35828 (45.4%)
[   26980] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78936, largest= 35828 (45.4%)
[   26980] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78936, largest= 35828 (45.4%)
[   26980] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78936, largest= 35828 (45.4%)
[   26981] CalendarModule.:112  | CalendarModule::processData    | heap= 78936, largest= 35828 (45.4%)
[   26981] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78936, largest= 35828 (45.4%)
[   26981] WeatherModule.c:204  | WeatherModule::processData     | heap= 78936, largest= 35828 (45.4%)
[   26981] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78936, largest= 35828 (45.4%)
[   27025] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   27026] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   27026] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   27026] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   27026] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   27027] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   27027] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27028] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27028] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   27028] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   27028] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   27029] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27029] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   27029] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27030] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27030] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27031] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27031] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27032] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27032] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27032] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
