=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:06:12
Timestamp: 148075 ms
Current Heap: free=76888, largestBlock=33780 (43.9%), freeBlocks=19
Baseline: largestBlock=233460 (set 146969 ms ago)
Degradation: 199680 bytes (85.5% loss from baseline)

=== Recent Operations (last 300) ===
[  147047] CalendarModule.:94   | CalendarModule::queueData      | heap= 29760, largest=  7668 (25.8%)
[  147047] WebClientModule:346  | WebClient::accessResource      | heap= 29584, largest=  7668 (25.9%)
[  147047] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 29760, largest=  7668 (25.8%)
[  147048] WebClientModule:346  | WebClient::accessResource      | heap= 29820, largest=  7668 (25.7%)
[  147048] WeatherModule.c:138  | WeatherModule::queueData       | heap= 29972, largest=  7668 (25.6%)
[  147049] WebClientModule:346  | WebClient::accessResource      | heap= 29440, largest=  7668 (26.0%)
[  147049] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 30188, largest=  7668 (25.4%)
[  147051] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 31376, largest=  7924 (25.3%)
[  147052] DartsRankingMod:448  | DartsRankingModule::processData | heap= 31376, largest=  7924 (25.3%)
[  147052] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 31376, largest=  7924 (25.3%)
[  147052] CalendarModule.:112  | CalendarModule::processData    | heap= 31376, largest=  7924 (25.3%)
[  147053] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 31376, largest=  7924 (25.3%)
[  147053] WeatherModule.c:204  | WeatherModule::processData     | heap= 31376, largest=  7924 (25.3%)
[  147053] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 31376, largest=  7924 (25.3%)
[  147111] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 32076, largest=  9460 (29.5%)
[  147111] WebClientModule:346  | WebClient::accessResource      | heap= 31544, largest=  8948 (28.4%)
[  147111] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 32076, largest=  9460 (29.5%)
[  147112] WebClientModule:346  | WebClient::accessResource      | heap= 32028, largest=  9460 (29.5%)
[  147112] WebClientModule:346  | WebClient::accessResource      | heap= 32012, largest=  9460 (29.6%)
[  147112] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 32076, largest=  9460 (29.5%)
[  147113] WebClientModule:346  | WebClient::accessResource      | heap= 31996, largest=  9460 (29.6%)
[  147113] WebClientModule:346  | WebClient::accessResource      | heap= 31980, largest=  9460 (29.6%)
[  147114] CalendarModule.:94   | CalendarModule::queueData      | heap= 32076, largest=  9460 (29.5%)
[  147114] WebClientModule:346  | WebClient::accessResource      | heap= 31900, largest=  9204 (28.9%)
[  147114] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 32076, largest=  9460 (29.5%)
[  147115] WebClientModule:346  | WebClient::accessResource      | heap= 31996, largest=  9460 (29.6%)
[  147115] WeatherModule.c:138  | WeatherModule::queueData       | heap= 32076, largest=  9460 (29.5%)
[  147116] WebClientModule:346  | WebClient::accessResource      | heap= 31400, largest=  8692 (27.7%)
[  147116] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 32076, largest=  9460 (29.5%)
[  147118] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 32076, largest=  9460 (29.5%)
[  147118] DartsRankingMod:448  | DartsRankingModule::processData | heap= 32076, largest=  9460 (29.5%)
